Date;Time;Price
02/09/2020;12:00;12,23
01/09/2020;12:00;12,29
31/08/2020;12:00;12,42
28/08/2020;12:00;12,48
27/08/2020;12:00;12,4
26/08/2020;12:00;12,35
25/08/2020;12:00;12,26
24/08/2020;12:00;12,18
21/08/2020;12:00;12,17
20/08/2020;12:00;12,2
19/08/2020;12:00;12,2
18/08/2020;12:00;12,2
17/08/2020;12:00;12,23
14/08/2020;12:00;12,29
13/08/2020;12:00;12,23
12/08/2020;12:00;12,16
11/08/2020;12:00;12,1
10/08/2020;12:00;12,07
07/08/2020;12:00;12,06
06/08/2020;12:00;12,04
05/08/2020;12:00;12
04/08/2020;12:00;11,89
03/08/2020;12:00;11,88
31/07/2020;12:00;12
30/07/2020;12:00;12,03
29/07/2020;12:00;12,02
28/07/2020;12:00;12,06
27/07/2020;12:00;12,16
24/07/2020;12:00;12,26
23/07/2020;12:00;12,31
22/07/2020;12:00;12,34
21/07/2020;12:00;12,27
20/07/2020;12:00;12,22
17/07/2020;12:00;12,26
16/07/2020;12:00;12,18
15/07/2020;12:00;12,11
14/07/2020;12:00;12,15
13/07/2020;12:00;12,05
10/07/2020;12:00;12,07
09/07/2020;12:00;12,09
08/07/2020;12:00;12,16
07/07/2020;12:00;12,1
06/07/2020;12:00;12,06
03/07/2020;12:00;12
02/07/2020;12:00;11,93
01/07/2020;12:00;11,82
30/06/2020;12:00;11,76
29/06/2020;12:00;11,84
26/06/2020;12:00;11,78
25/06/2020;12:00;11,92
24/06/2020;12:00;11,96
23/06/2020;12:00;11,95
22/06/2020;12:00;11,98
19/06/2020;12:00;11,97
18/06/2020;12:00;11,96
17/06/2020;12:00;11,76
